Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2025-04-15 12:23:45,2025-04-16 10:44:23,Shop,-345020,0,VND,COMPLETED,514540
CARD_PAYMENT,Current,2025-04-19 18:55:20,2025-04-20 00:40:12,Texts,-119340,0,VND,COMPLETED,395200
CARD_PAYMENT,Current,2025-05-05 07:12:11,2025-05-05 14:21:45,Discord,-259740,0,VND,COMPLETED,135460
CARD_PAYMENT,Current,2025-05-08 23:11:50,2025-05-09 03:25:37,Texts,-120900,0,VND,COMPLETED,14560
TOPUP,Current,2025-04-10 14:40:29,2025-04-10 14:40:50,Shop Pay,520000,0,VND,COMPLETED,534560
TOPUP,Current,2025-05-02 09:12:20,2025-05-02 09:12:45,Shop Pay,520000,0,VND,COMPLETED,534560
TOPUP,Current,2025-04-25 22:11:08,2025-04-25 22:11:20,Shop Pay,1300000,0,VND,COMPLETED,1834600
TOPUP,Current,2025-04-26 11:03:25,2025-04-26 11:03:50,Shop Pay,1300000,0,VND,COMPLETED,3134600
TOPUP,Current,2025-05-01 06:20:40,2025-05-01 06:20:59,Shop Pay,1300000,0,VND,COMPLETED,4434600
TOPUP,Current,2025-05-03 13:58:18,2025-05-03 13:58:40,Shop Pay,1300000,0,VND,COMPLETED,5734600
CARD_PAYMENT,Current,2025-04-17 10:15:35,2025-04-18 13:53:12,itch.io,-4822500,0,VND,COMPLETED,911800
CARD_PAYMENT,Current,2025-04-22 07:12:18,2025-04-22 15:53:18,Discord,-259740,0,VND,COMPLETED,652340
CARD_PAYMENT,Current,2025-05-12 09:49:02,2025-05-12 21:03:43,Shop,-345020,0,VND,COMPLETED,307320
CARD_PAYMENT,Current,2025-05-14 21:01:17,2025-05-15 01:44:40,Texts,-119340,1300,VND,COMPLETED,186680
TOPUP,Current,2025-04-29 23:36:34,2025-04-29 23:36:50,Shop Pay,520000,0,VND,COMPLETED,706680
TOPUP,Current,2025-05-06 15:52:13,2025-05-06 15:52:30,Shop Pay,520000,0,VND,COMPLETED,706680
CARD_PAYMENT,Current,2025-04-28 17:22:55,2025-04-29 12:07:20,Shop,-345020,0,VND,COMPLETED,361660
CARD_PAYMENT,Current,2025-05-09 15:54:15,2025-05-10 15:34:28,Online,-342680,3380,VND,COMPLETED,15600
TOPUP,Current,2025-04-14 17:20:08,2025-04-14 17:20:20,Shop Pay,520000,0,VND,COMPLETED,535600
CARD_PAYMENT,Current,2025-04-20 17:20:25,2025-04-21 10:56:22,Groceries,-377780,0,VND,COMPLETED,157820
CARD_PAYMENT,Current,2025-05-11 23:55:47,2025-05-12 15:57:40,Texts,-122720,1300,VND,COMPLETED,33800
